Ano;Tempo de Exposição (s)  (t);"RHreal: Média da umidade relativa da camada carbonatada [%];";"RHref: umidade relativa de referência [%];";Expoente fe [-] ;Expoente ge [-] ;"Ke = Coeficiente ambiental [adimensional];";"bc: expoente da regressão [-]; ";tc: período de cura [d].;"Kc = Coeficiente de condição de cura [adimensional];";Cs = Concentração de CO2 no ar – [%];"W(t) = Coeficiente climático [adimensional];";DCO2 = Coeficiente de difusão no concreto carbonatado;a = Teor de CO2 em 1m³ de concreto;Rc = Resistência  à carbonatação natural do concreto (mm²/anos) /(kg/m³).;Xc (t) Profundidade de carbonatação (mm)
140;4415040000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,210405035;8,913E-08;68,02521;1,31E-09;21,980014
141;4446576000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,210094423;8,913E-08;68,02521;1,31E-09;22,025810
142;4478112000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,20978646;8,913E-08;68,02521;1,31E-09;22,071377
143;4509648000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,209481104;8,913E-08;68,02521;1,31E-09;22,116718
144;4541184000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,209178316;8,913E-08;68,02521;1,31E-09;22,161835
145;4572720000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,208878057;8,913E-08;68,02521;1,31E-09;22,206731
146;4604256000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,208580288;8,913E-08;68,02521;1,31E-09;22,251408
147;4635792000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,208284972;8,913E-08;68,02521;1,31E-09;22,295869
148;4667328000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,207992072;8,913E-08;68,02521;1,31E-09;22,340117
149;4698864000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,207701552;8,913E-08;68,02521;1,31E-09;22,384154
150;4730400000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,207413377;8,913E-08;68,02521;1,31E-09;22,427982
